MapDate,AreaOfInterest,OT,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,date,start_date,end_date,fact,preds,text_source,text_start_date,text_end_date,text_age_days,text_window_days
20000104,Total,57.29,42.71,19.61,7.9,0.0,0.0,2000-01-04,2000-01-10,1,2000-01-04,2000-01-04,2000-01-10,"The contiguous United States experienced a warmer-than-normal monthly mean temperature in January 2000, ranking as one of the warmest on record.",NA;NA,search,2000-01-03,2000-01-09,1,31
20000516,Total,60.21,39.79,23.81,13.02,2.5,0.0,2000-05-16,2000-05-22,1,2000-05-16,2000-05-16,2000-05-22,"Since 1900, average daily temperatures in the contiguous USA have increased, and there is variability and trends of precipitation and snowfall over the contiguous United States.",NA;NA,search,2000-05-15,2000-05-21,1,31
20000523,Total,64.63,35.37,19.99,11.84,3.0,0.0,2000-05-23,2000-05-29,1,2000-05-23,2000-05-23,2000-05-29,"The continental United States receives its highest rainfall on the Pacific coast, particularly in Washington state.",NA;NA,search,2000-05-22,2000-05-28,1,31
20000530,Total,68.15,31.85,20.32,11.48,4.25,0.22,2000-05-30,2000-06-05,1,2000-05-30,2000-05-30,2000-06-05,"The contiguous United States covers about 40 percent of the country's total area, and native grasslands once covered a significant portion of it.",NA;NA,search,2000-05-29,2000-06-04,1,31
20000606,Total,68.61,31.39,17.97,10.7,4.52,0.25,2000-06-06,2000-06-12,1,2000-06-06,2000-06-06,2000-06-12,The provided search results do not contain any relevant information about Monthly Contiguous U.S. Precipitation.,NA;NA,search,2000-06-05,2000-06-11,1,31
20000613,Total,63.01,36.99,19.72,11.9,6.13,1.28,2000-06-13,2000-06-19,1,2000-06-13,2000-06-13,2000-06-19,"The contiguous United States experienced above-normal precipitation in June 2000, with high pressure dominating the west and low pressure dominating the east.","The increase in precipitation system scale from 2001 to 2020 could lead to more frequent and intense precipitation events in the long-term future (next few months).;Based on the current situation, it is likely that the contiguous United States will continue to experience above-normal precipitation in the short-term future (next 1-4 weeks).",search,2000-06-12,2000-06-18,1,31
20000620,Total,64.25,35.75,19.13,11.86,5.62,1.37,2000-06-20,2000-06-26,1,2000-06-20,2000-06-20,2000-06-26,There is no direct information about Monthly Contiguous U.S. Precipitation in the provided search results.,NA;NA,search,2000-06-19,2000-06-25,1,31
20000627,Total,61.12,38.88,19.95,10.52,3.78,1.39,2000-06-27,2000-07-03,1,2000-06-27,2000-06-27,2000-07-03,The contiguous United States has variability and trends of total precipitation.,NA;NA,search,2000-06-26,2000-07-02,1,31
20000704,Total,57.8,42.2,14.97,6.91,3.61,1.05,2000-07-04,2000-07-10,1,2000-07-04,2000-07-04,2000-07-10,"The United States Department of Agriculture provides soil data for the Town of Glen, New York.",NA;NA,search,2000-07-03,2000-07-09,1,31
20000711,Total,56.32,43.68,17.1,6.87,3.92,1.38,2000-07-11,2000-07-17,1,2000-07-11,2000-07-11,2000-07-17,The July 2000 monthly mean temperature averaged across the contiguous United States was based on data from the U.S. Historical Climate Network (USHCN).,NA;NA,search,2000-07-10,2000-07-16,1,31
20000718,Total,55.65,44.35,18.87,7.42,4.57,1.77,2000-07-18,2000-07-24,1,2000-07-18,2000-07-18,2000-07-24,"The search results do not provide direct information about Monthly Contiguous U.S. Precipitation. However, it is mentioned that in Mongolia, 60-80% of the annual precipitation occurs in a specific period .",NA;NA,search,2000-07-17,2000-07-23,1,31
20000725,Total,56.81,43.19,19.24,7.88,4.36,2.16,2000-07-25,2000-07-31,1,2000-07-25,2000-07-25,2000-07-31,The preliminary national standardized precipitation index ranked July 2000 as the 14th driest July since 1895. About 23% of the country was much drier than normal during July while about four percent of the country was much wetter than normal.,"The long-term trend suggests that the country may experience a prolonged period of drought, similar to the one in the late 1980s. However, it is difficult to make precise predictions beyond 3 months.;Based on the current patterns, it is likely that the dry conditions in the Southeast and West will persist for the next 1-3 months, while the Northeast and central Great Plains may continue to experience above-normal precipitation.",report,2000-07-01,2000-07-31,0,31
20000801,Total,58.33,41.67,20.29,8.74,4.13,2.01,2000-08-01,2000-08-07,1,2000-08-01,2000-08-01,2000-08-07,"The United States government monitors precipitation through various agencies, including the National Weather Service (NWS) and the U.S. Geological Survey (USGS).",NA;NA,search,2000-07-31,2000-08-06,1,31
20000808,Total,57.11,42.89,20.61,9.07,3.75,1.78,2000-08-08,2000-08-14,1,2000-08-08,2000-08-08,2000-08-14,"Precipitation has been below normal in the south and normal in the north of the contiguous United States as of August 8, 2000.","NA;It is likely that the dry conditions in the south will continue in the short term, potentially leading to an increased risk of forest fires.",search,2000-08-07,2000-08-13,1,31
20000815,Total,56.7,43.3,23.11,10.95,3.69,1.66,2000-08-15,2000-08-21,1,2000-08-15,2000-08-15,2000-08-21,"The August 2000 monthly mean temperature averaged across the contiguous United States, based on data from the U.S. Historical Climate Network (USHCN).",NA;NA,search,2000-08-14,2000-08-20,1,31
20000822,Total,57.99,42.01,24.45,11.69,4.52,2.0,2000-08-22,2000-08-28,1,2000-08-22,2000-08-22,2000-08-28,The United States (US) AMEDD Center and School provides data on seasonal precipitation.,"NA (no long-term predictions) Note: The provided search results do not contain much relevant information about Monthly Contiguous U.S. Precipitation, hence the limited output.;NA (no short-term predictions)",search,2000-08-21,2000-08-27,1,31
20000829,Total,52.85,47.15,27.02,13.24,5.74,2.06,2000-08-29,2000-09-04,1,2000-08-29,2000-08-29,2000-09-04,"The AVN MOS precipitation type guidance is available for approximately 1000 sites in the contiguous United States and Alaska, with forecasts valid every 3 hours.",NA;NA,search,2000-08-28,2000-09-03,1,31
20000905,Total,52.06,47.94,29.06,16.22,6.75,2.18,2000-09-05,2000-09-11,1,2000-09-05,2000-09-05,2000-09-11,"The search results do not provide any direct information about Monthly Contiguous U.S. Precipitation. However, some results mention precipitation, rain, and climate in the context of specific locations or topics.",NA;NA,search,2000-09-04,2000-09-10,1,31
20000912,Total,52.86,47.14,32.28,20.28,7.44,1.43,2000-09-12,2000-09-18,1,2000-09-12,2000-09-12,2000-09-18,The average lower tropospheric temperature over the continental U.S. and climate divisions in the contiguous United States were reported in September 2000.,NA;NA,search,2000-09-11,2000-09-17,1,31
20000919,Total,51.09,48.91,33.37,21.9,7.0,1.37,2000-09-19,2000-09-25,1,2000-09-19,2000-09-19,2000-09-25,There is no direct information about Monthly Contiguous U.S. Precipitation in the provided search results.,NA;NA,search,2000-09-18,2000-09-24,1,31
20000926,Total,51.58,48.42,32.09,20.06,5.76,0.62,2000-09-26,2000-10-02,1,2000-09-26,2000-09-26,2000-10-02,The 2000 drought in the contiguous United States was as extensive as other droughts of the 20th Century.,NA;NA,search,2000-09-25,2000-10-01,1,31
20001003,Total,49.36,50.64,34.31,21.9,5.84,0.62,2000-10-03,2000-10-09,1,2000-10-03,2000-10-03,2000-10-09,"The mountainous eastern region of Fresno County, California receives up to 70 inches of precipitation annually, mostly in the winter months. All other results are irrelevant to Monthly Contiguous U.S. Precipitation. Therefore, the remaining parts will be marked as ""NA"".",NA;NA,search,2000-10-02,2000-10-08,1,31
20001010,Total,50.18,49.82,34.34,20.33,4.91,0.39,2000-10-10,2000-10-16,1,2000-10-10,2000-10-10,2000-10-16,The average lower tropospheric temperature over the continental U.S. in October 2000 was affected by climate divisions in the contiguous United States.,"In the long-term, the increased precipitation in the western contiguous United States may lead to changes in drought patterns and climate divisions across the region, but more data is needed to make specific predictions.;Based on the patterns in October 2000, it is likely that the next 1-4 weeks will see continued drought in some regions and increased precipitation in others, with a focus on the western contiguous United States.",search,2000-10-09,2000-10-15,1,31
20001017,Total,49.92,50.08,34.29,18.59,5.92,0.87,2000-10-17,2000-10-23,1,2000-10-17,2000-10-17,2000-10-23,"The Sierra Nevada mountains, including Yosemite, Kings Canyon, and Sequoia National Parks, are located in the contiguous 48 states.",NA;NA,search,2000-10-16,2000-10-22,1,31
20001024,Total,46.23,53.77,32.84,14.42,6.42,1.41,2000-10-24,2000-10-30,1,2000-10-24,2000-10-24,2000-10-30,"The loftiness of the Santa Rosa and San Jacinto Mountains captures significant amounts of rain and snow, making the Coachella Valley a garden spot.","NA Note: The provided search results do not contain sufficient information to make predictions about Monthly Contiguous U.S. Precipitation. The results are mostly unrelated to precipitation or climate, and the few relevant mentions are too general or specific to a particular region to be useful for making predictions.;NA",search,2000-10-23,2000-10-29,1,31
20001031,Total,49.98,50.02,29.05,14.21,7.6,2.2,2000-10-31,2000-11-06,1,2000-10-31,2000-10-31,2000-11-06,"The continental United States has a structured precipitation field, allowing for distinction between vertical motion-induced precipitation and other factors.","NA Note: The majority of the search results were not relevant to predicting Monthly Contiguous U.S. Precipitation, and there was limited useful information available.;NA",search,2000-10-30,2000-11-05,1,31
20001107,Total,62.07,37.93,16.67,10.4,6.26,0.83,2000-11-07,2000-11-13,1,2000-11-07,2000-11-07,2000-11-13,"The effects of climate change can be seen globally, including in the United States, and can lead to intense rainfall events.","Based on the predicted increase in intense rainfall events, it is possible that Monthly Contiguous U.S. Precipitation may be higher than usual in the coming months. Note: The provided search results do not yield much information directly related to Monthly Contiguous U.S. Precipitation. The insights and predictions made are based on indirect connections to climate change and its potential effects on precipitation patterns.;NA",search,2000-11-06,2000-11-12,1,31
20001114,Total,69.11,30.89,15.81,9.97,4.87,0.6,2000-11-14,2000-11-20,1,2000-11-14,2000-11-14,2000-11-20,The average lower tropospheric temperature over the continental U.S. was recorded in November 2000.,NA;NA,search,2000-11-13,2000-11-19,1,31
20001121,Total,70.05,29.95,14.8,8.94,2.21,0.0,2000-11-21,2000-11-27,1,2000-11-21,2000-11-21,2000-11-27,"The search results do not provide any direct information about Monthly Contiguous U.S. Precipitation. However, one result mentions ""precipitation or snowmelt"" in the context of Montana's 303(d) List, which is a compilation of impaired and threatened waters.",NA;NA,search,2000-11-20,2000-11-26,1,31
20001128,Total,70.22,29.78,13.58,7.55,0.59,0.0,2000-11-28,2000-12-04,1,2000-11-28,2000-11-28,2000-12-04,The contiguous United States refers to the 48 states excluding Alaska and Hawaii.,"NA Note: The provided search results do not contain relevant information about Monthly Contiguous U.S. Precipitation, so most parts are marked as ""NA"". The objective fact (;NA",search,2000-11-27,2000-12-03,1,31
20001205,Total,71.61,28.39,14.02,7.57,0.68,0.11,2000-12-05,2000-12-11,1,2000-12-05,2000-12-05,2000-12-11,These processes send back 70 percent of annual precipitation in the USA.,NA;NA,search,2000-12-04,2000-12-10,1,31
20001212,Total,72.21,27.79,14.26,7.76,0.92,0.21,2000-12-12,2000-12-18,1,2000-12-12,2000-12-12,2000-12-18,"The contiguous United States experienced drought affecting just under 10% of the area in December 2000, with precipitation shortfalls evident in the mid-Atlantic states.",NA;NA,search,2000-12-11,2000-12-17,1,31
20001219,Total,75.39,24.61,12.82,6.29,0.74,0.25,2000-12-19,2000-12-25,1,2000-12-19,2000-12-19,2000-12-25,"The U.S. Geological Survey says there are 67 active or potentially active volcanoes in the United States: seven in Hawaii, 16 in mainland Alaska, 24 in the Aleutian Islands, and 20 in the contiguous United States. All other search results are irrelevant to predicting Monthly Contiguous U.S. Precipitation, so the remaining parts are:",NA;NA,search,2000-12-18,2000-12-24,1,31
20001226,Total,76.73,23.27,12.05,6.28,0.8,0.3,2000-12-26,2001-01-01,1,2000-12-26,2000-12-26,2001-01-01,"The contiguous United States has radar maps and animations available for viewing on the NOAA Climate.gov website, allowing for the observation of precipitation patterns.","Long-term predictions can be made about trends in floods and low flows in the United States, including the impact of spatial correlation on precipitation quantiles, which can inform decision-making on water resource management. Note: There is limited information available in the search results that is directly relevant to making predictions about Monthly Contiguous U.S. Precipitation. The information provided is based on the available data, but more specific and relevant data would be needed to make more accurate predictions.;Based on the availability of radar maps and animations, short-term predictions can be made about precipitation events in the contiguous United States, such as identifying areas of high precipitation intensity.",search,2000-12-25,2000-12-31,1,31
20010102,Total,75.53,24.47,11.65,5.14,0.8,0.28,2001-01-02,2001-01-08,1,2001-01-02,2001-01-02,2001-01-08,The climate division drought database consists of monthly data for 344 climate divisions in the contiguous United States.,NA;NA,search,2001-01-01,2001-01-07,1,31
20010109,Total,73.35,26.65,11.96,5.46,1.19,0.28,2001-01-09,2001-01-15,1,2001-01-09,2001-01-09,2001-01-15,"The contiguous United States experienced severe drought in January 2001, affecting about 11% of the region.",NA;NA,search,2001-01-08,2001-01-14,1,31
20010116,Total,74.71,25.29,12.07,5.13,1.29,0.28,2001-01-16,2001-01-22,1,2001-01-16,2001-01-16,2001-01-22,"The Carrizo Plain National Monument in California experiences variable weather patterns, including El Niño years, which affect precipitation.","Long-term predictions are difficult to make without more specific data, but it is possible that precipitation patterns in the next few months may be influenced by larger-scale climate patterns, such as El Niño events. Note: The majority of the search results were not relevant to making predictions about Monthly Contiguous U.S. Precipitation, so the output is limited.;Based on the correlation between ANPP and annual precipitation, it is possible that precipitation patterns in the next 1-4 weeks may be influenced by ecosystem dynamics. However, more specific data is needed to make a more accurate prediction.",search,2001-01-15,2001-01-21,1,31
20010123,Total,63.51,36.49,10.87,4.78,0.81,0.29,2001-01-23,2001-01-29,1,2001-01-23,2001-01-23,2001-01-29,"The U.S. Government Printing Office publishes a monthly catalog of United States government publications, which includes data on precipitation within the continental limits of the United States. All other search results are irrelevant to Monthly Contiguous U.S. Precipitation.",NA;NA,search,2001-01-22,2001-01-28,1,31
20010130,Total,67.34,32.66,9.92,4.19,0.74,0.29,2001-01-30,2001-02-05,1,2001-01-30,2001-01-30,2001-02-05,The annual mean precipitation in the contiguous United States shows a gradual transition east of the eastern Rocky Mountains.,NA;NA,search,2001-01-29,2001-02-04,1,31
20010206,Total,67.59,32.41,10.15,4.57,0.86,0.28,2001-02-06,2001-02-12,1,2001-02-06,2001-02-06,2001-02-12,"The contiguous United States experienced drought conditions as of the end of February 2001, with varying precipitation conditions in the Northeast.",NA;NA,search,2001-02-05,2001-02-11,1,31
20010213,Total,68.75,31.25,18.67,4.72,1.35,0.51,2001-02-13,2001-02-19,1,2001-02-13,2001-02-13,2001-02-19,"The contiguous United States experienced varying levels of precipitation in February 2001, with some states receiving above-average precipitation and others experiencing drought.",NA;NA,search,2001-02-12,2001-02-18,1,31
20010220,Total,71.05,28.95,18.26,4.75,1.44,0.53,2001-02-20,2001-02-26,1,2001-02-20,2001-02-20,2001-02-26,"The contiguous United States experienced varying levels of precipitation in February 2001, with some states receiving above-average precipitation and others experiencing drought.",NA;NA,search,2001-02-12,2001-02-18,8,31
20010227,Total,70.78,29.22,18.22,4.76,1.45,0.61,2001-02-27,2001-03-05,1,2001-02-27,2001-02-27,2001-03-05,The western United States experiences variations in precipitation due to El Nino and La Nina events.,NA;NA,search,2001-02-26,2001-03-04,1,31
20010306,Total,72.05,27.95,17.88,4.61,1.39,0.59,2001-03-06,2001-03-12,1,2001-03-06,2001-03-06,2001-03-12,"Continental polar air masses originate on the plains of Canada and the northern United States, including the upper Mississippi River Basin.","NA;Based on the current winter weather patterns, it is likely that precipitation will continue to be influenced by continental polar air masses and other weather systems in the short-term future (next 1-4 weeks).",search,2001-03-05,2001-03-11,1,31
20010313,Total,71.45,28.55,17.7,7.91,1.33,0.59,2001-03-13,2001-03-19,1,2001-03-13,2001-03-13,2001-03-19,The graph shows March monthly mean temperature averaged across the contiguous United States based on long-term data from the U.S. Historical Climatology Network.,"In the long-term future (next few months), it is possible that the precipitation patterns will continue to be influenced by climate change and other factors, leading to more frequent and intense droughts and floods in different regions of the contiguous United States.;Based on the available data, it is likely that the precipitation patterns in the short-term future (next 1-4 weeks) will continue to vary across different regions of the contiguous United States, with some areas experiencing above-normal precipitation and others experiencing below-normal precipitation.",search,2001-03-12,2001-03-18,1,31
20010320,Total,71.39,28.61,18.04,8.33,1.27,0.57,2001-03-20,2001-03-26,1,2001-03-20,2001-03-20,2001-03-26,"The 20th century saw trends in drought over the continental United States, with effects of temperature and precipitation trends on U.S. drought.",NA;NA,search,2001-03-19,2001-03-25,1,31
20010327,Total,68.45,31.55,17.76,8.33,1.23,0.54,2001-03-27,2001-04-02,1,2001-03-27,2001-03-27,2001-04-02,Heavy precipitation and high streamflow have been trending upward in the 20th century in the contiguous United States.,"The long-term trend suggests that the contiguous US will continue to experience heavier precipitation and higher streamflow in the coming months, potentially leading to increased flood risk and water resource management challenges. Note: The provided search results do not offer a wealth of information directly relevant to predicting Monthly Contiguous U.S. Precipitation. The above summary is based on a single relevant source and some inferred insights.;Based on the trend, it is likely that the next 1-4 weeks will see above-average precipitation in the contiguous US.",search,2001-03-26,2001-04-01,1,31
20010403,Total,68.05,31.95,17.26,8.47,1.2,0.15,2001-04-03,2001-04-09,1,2001-04-03,2001-04-03,2001-04-09,"The contiguous United States experiences thunderstorm rainfall, and the national pattern of this rainfall is influenced by temporal shifts in storm frequencies.","Climate change may lead to changes in precipitation patterns, potentially resulting in more extreme events and altered monthly contiguous U.S. precipitation patterns in the long term.;Based on the current patterns, it is likely that monthly contiguous U.S. precipitation will be influenced by shifts in storm frequencies and thunderstorm rainfall in the short term.",search,2001-04-02,2001-04-08,1,31
20010410,Total,70.26,29.74,17.78,8.48,1.2,0.17,2001-04-10,2001-04-16,1,2001-04-10,2001-04-10,2001-04-16,"The contiguous United States was generally warmer than normal in April 2001, especially in the Central region.","NA (not enough information to make long-term predictions) Note: The provided search results do not contain sufficient information to make predictions about Monthly Contiguous U.S. Precipitation. Most of the results are related to temperature, climate, and weather patterns, but do not provide direct information about precipitation.;NA (not enough information to make short-term predictions)",search,2001-04-09,2001-04-15,1,31
20010417,Total,70.65,29.35,17.9,8.53,1.29,0.22,2001-04-17,2001-04-23,1,2001-04-17,2001-04-17,2001-04-23,"The United States has experienced an increase in precipitation of 5% to 10% since 1900, although this trend has been interrupted by multi-year droughts.",NA;NA,search,2001-04-16,2001-04-22,1,31
20010424,Total,70.52,29.48,18.55,8.63,1.29,0.22,2001-04-24,2001-04-30,1,2001-04-24,2001-04-24,2001-04-30,"April 2001 was severely dry across much of the country from the Northeast to Texas and Florida, with the Palmer Z Index showing moisture conditions departing from normal.","The long-term trend suggests that the drought may continue to impact the country over the next 4-12 months, particularly in regions that have experienced prolonged dryness.;Based on the current patterns, it is likely that the drought will persist in the Pacific Northwest, Southeast, and southern Plains regions over the next 1-3 months.",report,2001-04-01,2001-04-30,0,31
20010501,Total,69.08,30.92,20.9,8.73,1.29,0.22,2001-05-01,2001-05-07,1,2001-05-01,2001-05-01,2001-05-07,"The contiguous United States is affected by five of the six basic air masses types, which influence weather and precipitation.",NA;NA,search,2001-04-30,2001-05-06,1,31
20010508,Total,60.26,39.74,23.89,11.03,1.66,0.22,2001-05-08,2001-05-14,1,2001-05-08,2001-05-08,2001-05-14,"The climatology of freezing rain in the contiguous United States has been studied, with preliminary results presented at a conference on Weather Analysis and Forecasting.","NA (No information available to make long-term predictions) Note: The search results do not provide direct information about Monthly Contiguous U.S. Precipitation, making it difficult to make predictions or analyze the current situation.;NA (No information available to make short-term predictions)",search,2001-05-07,2001-05-13,1,31
20010515,Total,59.35,40.65,26.7,12.82,2.34,0.38,2001-05-15,2001-05-21,1,2001-05-15,2001-05-15,2001-05-21,"The Atlantic Multidecadal Oscillation (AMO) has a relation to rainfall and river flows in the continental U.S., with most of the United States seeing less than normal precipitation during AMO warmings, except for the western United States.","The AMO's multidecadal cycle may continue to influence precipitation patterns in the continental U.S. over the next few months, leading to potential drought conditions in certain regions. Note: The other search results did not provide directly relevant information for predicting Monthly Contiguous U.S. Precipitation.;Based on the AMO's influence, it is possible that the next 1-4 weeks will see below-normal precipitation in most of the United States, except for the western region.",search,2001-05-14,2001-05-20,1,31
20010522,Total,61.28,38.72,26.73,11.17,2.15,0.41,2001-05-22,2001-05-28,1,2001-05-22,2001-05-22,2001-05-28,There is no objective fact about Monthly Contiguous U.S. Precipitation in the provided search results.,No long-term predictions can be made about Monthly Contiguous U.S. Precipitation based on the provided search results.;No short-term predictions can be made about Monthly Contiguous U.S. Precipitation based on the provided search results.,search,2001-05-21,2001-05-27,1,31
20010529,Total,62.43,37.57,25.26,11.36,2.05,0.41,2001-05-29,2001-06-04,1,2001-05-29,2001-05-29,2001-06-04,"The continental United States has been studied for climate variation from 1874 to 1988, with precipitation being an important factor .",NA;NA,search,2001-05-28,2001-06-03,1,31
20010605,Total,66.75,33.25,22.62,10.98,1.96,0.33,2001-06-05,2001-06-11,1,2001-06-05,2001-06-05,2001-06-11,The western portion of the three states in the South is more frequently affected by rainfall than the eastern portion.,NA;NA,search,2001-06-04,2001-06-10,1,31
20010612,Total,68.35,31.65,21.28,10.63,1.7,0.08,2001-06-12,2001-06-18,1,2001-06-12,2001-06-12,2001-06-18,The graph shows June monthly mean temperature averaged across the contiguous United States based on long-term data from the U.S. Historical Climate Network.,"Long-term predictions are also uncertain, but based on historical climate data, the contiguous United States may experience above-average temperatures and precipitation in the next few months.;Short-term predictions are uncertain, but there is a possibility of excessive rainfall and severe thunderstorms in the Southern U.S. in the next 1-4 weeks.",search,2001-06-11,2001-06-17,1,31
