date,value_1,value_2,value_3,value_4,value_5,OT
2001-07-24,44.62,23.17,14.24,2.95,0.0,55.38
2001-07-31,44.2,25.95,14.86,4.37,0.0,55.8
2001-08-07,43.06,26.0,15.44,4.37,0.0,56.94
2001-08-14,40.95,25.88,15.55,4.18,0.0,59.05
2001-08-21,38.51,25.92,16.05,6.0,0.0,61.49
2001-08-28,39.78,25.47,16.68,7.11,0.0,60.22
2001-09-04,42.09,23.9,15.81,7.43,0.0,57.91
2001-09-11,42.57,25.16,16.66,7.83,0.0,57.43
2001-09-18,40.54,24.78,16.66,7.83,0.0,59.46
2001-09-25,36.65,23.78,16.54,7.84,0.0,63.35
2001-10-02,37.01,23.64,15.84,8.06,0.0,62.99
2001-10-09,39.71,24.41,15.84,8.36,0.0,60.29
2001-10-16,38.69,23.97,16.01,8.36,0.0,61.31
2001-10-23,43.49,26.29,16.48,8.36,0.0,56.51
2001-10-30,46.36,29.86,17.47,8.33,0.0,53.64
2001-11-06,48.54,31.16,18.65,9.54,0.0,51.46
2001-11-13,51.26,32.74,19.35,9.54,0.0,48.74
2001-11-20,51.07,32.76,20.55,9.25,0.0,48.93
2001-11-27,47.21,31.75,19.99,9.13,0.0,52.79
2001-12-04,46.77,32.33,19.79,7.87,0.0,53.23
2001-12-11,45.46,31.03,18.3,7.26,0.0,54.54
2001-12-18,44.53,30.89,19.24,7.22,0.0,55.47
2001-12-25,44.61,30.39,18.88,6.79,0.0,55.39
2002-01-01,44.72,30.63,18.98,7.31,0.0,55.28
2002-01-08,45.54,29.01,16.94,5.27,0.0,54.46
2002-01-15,47.07,28.13,15.26,4.82,0.0,52.93
2002-01-22,47.19,27.55,14.84,4.72,0.0,52.81
2002-01-29,47.88,27.05,13.95,4.43,0.0,52.12
2002-02-05,48.18,26.82,13.8,4.61,0.0,51.82
2002-02-12,49.03,28.25,13.85,4.41,0.0,50.97
2002-02-19,50.72,29.58,14.01,4.71,0.0,49.28
2002-02-26,53.39,30.27,15.13,4.81,0.0,46.61
2002-03-05,53.15,30.53,15.17,4.73,0.0,46.85
2002-03-12,58.81,36.71,18.01,5.65,0.0,41.19
2002-03-19,57.45,34.08,16.78,5.53,0.0,42.55
2002-03-26,57.49,34.66,19.52,5.37,0.0,42.51
2002-04-02,55.8,34.44,20.42,4.37,0.0,44.2
2002-04-09,54.72,35.58,21.53,4.68,0.0,45.28
2002-04-16,54.09,36.1,22.92,5.64,0.0,45.91
2002-04-23,54.88,36.06,24.9,7.83,0.0,45.12
2002-04-30,53.84,35.84,25.89,9.98,0.23,46.16
2002-05-07,55.73,36.73,26.47,9.53,0.51,44.27
2002-05-14,53.91,39.07,26.19,13.73,0.54,46.09
2002-05-21,52.41,37.04,25.4,14.1,0.51,47.59
2002-05-28,54.01,38.02,25.83,14.72,2.28,45.99
2002-06-04,60.01,37.23,25.07,14.08,2.26,39.99
2002-06-11,59.07,37.77,25.36,13.94,1.73,40.93
2002-06-18,57.3,39.23,26.56,14.98,2.07,42.7
2002-06-25,58.32,39.95,27.96,16.64,2.93,41.68
2002-07-02,59.07,40.22,28.96,17.48,4.42,40.93
2002-07-09,59.63,39.93,27.69,17.14,4.6,40.37
2002-07-16,59.99,40.55,28.44,17.81,4.61,40.01
2002-07-23,65.08,43.01,30.0,18.84,5.0,34.92
2002-07-30,65.87,42.15,28.95,18.8,5.1,34.13
2002-08-06,65.89,41.85,29.9,19.4,5.83,34.11
2002-08-13,65.61,42.19,29.53,19.56,6.22,34.39
2002-08-20,60.87,40.98,29.34,19.81,6.56,39.13
2002-08-27,59.05,41.2,29.48,19.63,6.19,40.95
2002-09-03,60.93,41.73,30.18,17.9,5.2,39.07
2002-09-10,59.38,45.64,31.78,17.15,4.18,40.62
2002-09-17,59.68,44.7,30.99,16.64,3.24,40.32
2002-09-24,56.91,44.05,29.83,15.7,2.75,43.09
2002-10-01,59.27,40.6,27.89,14.91,2.62,40.73
2002-10-08,59.53,41.94,27.05,14.09,1.75,40.47
2002-10-15,56.58,41.62,26.11,13.25,1.12,43.42
2002-10-22,54.04,40.48,25.38,12.93,1.12,45.96
2002-10-29,50.97,39.11,24.8,12.63,1.13,49.03
2002-11-05,50.86,40.23,25.19,12.32,1.11,49.14
2002-11-12,49.46,35.81,22.2,11.31,0.93,50.54
2002-11-19,49.3,34.99,21.96,11.34,0.96,50.7
2002-11-26,49.05,34.65,21.91,11.31,0.93,50.95
2002-12-03,49.33,35.13,22.22,11.07,0.91,50.67
2002-12-10,51.4,36.59,25.7,11.41,1.05,48.6
2002-12-17,48.37,35.57,25.71,11.61,1.07,51.63
2002-12-24,47.41,35.2,25.61,11.62,1.07,52.59
2002-12-31,46.13,34.47,25.34,11.91,1.07,53.87
2003-01-07,48.38,35.59,26.08,13.62,1.41,51.62
2003-01-14,48.52,36.79,26.89,15.34,2.15,51.48
2003-01-21,50.37,37.02,27.34,17.16,1.97,49.63
2003-01-28,51.3,37.13,27.49,17.43,2.09,48.7
2003-02-04,52.06,37.11,26.75,17.16,1.88,47.94
2003-02-11,53.26,37.9,27.41,17.26,1.93,46.74
2003-02-18,51.89,37.05,26.67,16.81,1.74,48.11
2003-02-25,52.39,36.36,27.14,16.65,1.74,47.61
2003-03-04,52.79,37.46,27.18,16.63,1.67,47.21
2003-03-11,54.55,37.46,27.04,16.13,1.41,45.45
2003-03-18,56.86,40.56,26.47,16.03,1.41,43.14
2003-03-25,55.6,40.11,25.75,14.29,1.02,44.4
2003-04-01,55.31,37.29,24.45,13.03,0.49,44.69
2003-04-08,53.3,35.89,22.71,12.35,0.22,46.7
2003-04-15,54.79,36.32,22.76,12.1,0.19,45.21
2003-04-22,53.3,35.85,22.73,11.99,0.22,46.7
2003-04-29,57.62,36.55,23.63,10.89,0.22,42.38
2003-05-06,54.22,35.82,19.59,9.08,0.22,45.78
2003-05-13,49.96,35.08,17.74,8.67,0.52,50.04
2003-05-20,48.87,35.71,21.3,8.48,0.5,51.13
2003-05-27,48.26,35.13,20.53,8.56,0.5,51.74
2003-06-03,51.03,35.12,20.56,8.46,0.51,48.97
2003-06-10,49.98,32.9,19.99,8.55,0.85,50.02
2003-06-17,49.73,29.71,18.45,9.13,0.84,50.27
2003-06-24,49.73,29.33,18.51,8.95,0.74,50.27
2003-07-01,46.07,25.75,18.21,9.05,0.63,53.93
2003-07-08,42.82,24.76,18.65,9.57,0.68,57.18
2003-07-15,48.71,26.74,19.91,10.45,0.68,51.29
2003-07-22,46.95,32.13,21.82,12.4,1.39,53.05
2003-07-29,46.59,39.44,24.2,12.62,1.8,53.41
2003-08-05,48.36,40.24,25.19,12.47,1.65,51.64
2003-08-12,49.79,40.92,27.2,12.82,1.63,50.21
2003-08-19,54.67,41.47,28.56,14.52,1.77,45.33
2003-08-26,56.49,45.88,31.15,15.77,1.84,43.51
2003-09-02,54.21,43.88,28.79,14.29,1.61,45.79
2003-09-09,54.56,45.44,31.54,15.09,1.85,45.44
2003-09-16,52.71,42.09,28.84,14.35,1.83,47.29
2003-09-23,53.12,42.1,28.31,14.09,1.73,46.88
2003-09-30,51.94,40.51,27.73,14.1,1.75,48.06
2003-10-07,49.91,40.49,28.14,13.99,1.73,50.09
2003-10-14,50.67,38.95,28.57,14.64,1.71,49.33
2003-10-21,52.27,39.05,28.94,14.43,1.7,47.73
2003-10-28,53.74,40.82,29.36,15.27,2.12,46.26
2003-11-04,52.73,40.11,28.37,15.34,2.18,47.27
2003-11-11,53.79,40.91,28.55,15.41,2.79,46.21
2003-11-18,52.51,40.55,28.21,14.79,2.65,47.49
2003-11-25,51.41,40.15,28.1,14.74,2.75,48.59
2003-12-02,50.71,39.96,28.11,14.43,2.8,49.29
2003-12-09,51.23,40.07,28.2,14.36,2.76,48.77
2003-12-16,49.2,39.77,28.36,14.67,2.82,50.8
2003-12-23,49.47,39.78,28.32,14.74,3.11,50.53
2003-12-30,49.18,38.33,28.22,13.36,2.84,50.82
2004-01-06,51.65,38.41,27.19,13.57,3.1,48.35
2004-01-13,50.35,37.09,26.52,13.31,2.64,49.65
2004-01-20,48.63,36.62,26.12,13.02,2.41,51.37
2004-01-27,48.03,35.55,25.87,12.99,2.52,51.97
2004-02-03,48.03,34.98,25.76,12.5,2.48,51.97
2004-02-10,49.22,34.36,25.63,12.11,2.36,50.78
2004-02-17,49.19,34.5,25.69,12.06,2.36,50.81
2004-02-24,48.25,34.23,25.69,12.29,2.36,51.75
2004-03-02,47.48,32.74,23.61,10.47,1.74,52.52
2004-03-09,44.68,32.14,22.99,10.41,1.61,55.32
2004-03-16,44.41,31.51,22.62,10.31,1.61,55.59
2004-03-23,47.58,32.06,22.71,10.57,1.61,52.42
2004-03-30,48.32,31.21,22.67,10.93,1.61,51.68
2004-04-06,48.91,30.09,21.15,8.61,0.54,51.09
2004-04-13,50.02,30.43,21.08,8.65,0.68,49.98
2004-04-20,52.04,32.0,21.72,9.1,0.7,47.96
2004-04-27,50.15,32.45,21.66,8.82,0.7,49.85
2004-05-04,48.87,33.16,22.32,10.05,0.9,51.13
2004-05-11,49.27,32.68,22.53,10.32,0.91,50.73
2004-05-18,48.24,31.18,21.26,10.15,0.93,51.76
2004-05-25,51.17,33.36,21.63,10.8,0.67,48.83
2004-06-01,49.01,32.87,21.51,10.7,0.67,50.99
2004-06-08,46.16,32.21,21.58,10.58,0.49,53.84
2004-06-15,43.35,31.4,21.27,10.49,1.07,56.65
2004-06-22,41.0,30.14,20.3,9.34,1.02,59.0
2004-06-29,42.09,28.2,19.67,9.23,1.02,57.91
2004-07-06,42.68,28.19,19.59,8.83,1.0,57.32
2004-07-13,43.36,27.96,20.21,8.87,1.0,56.64
2004-07-20,45.26,28.73,20.19,8.87,1.19,54.74
2004-07-27,46.29,28.06,19.79,8.96,1.15,53.71
2004-08-03,47.43,28.38,20.09,9.14,1.15,52.57
2004-08-10,46.01,29.05,19.9,9.48,1.05,53.99
2004-08-17,43.51,30.78,19.75,10.02,1.05,56.49
2004-08-24,41.86,30.1,19.26,9.72,1.03,58.14
2004-08-31,40.87,29.74,19.0,9.64,1.01,59.13
2004-09-07,39.6,27.23,18.76,8.94,0.99,60.4
2004-09-14,40.67,25.86,18.53,8.58,0.81,59.33
2004-09-21,41.32,25.58,18.37,8.11,0.78,58.68
2004-09-28,39.26,25.49,18.23,8.1,0.78,60.74
2004-10-05,43.39,27.01,18.03,7.86,0.78,56.61
2004-10-12,40.16,26.47,17.77,8.06,0.83,59.84
2004-10-19,38.19,25.76,17.28,8.03,0.81,61.81
2004-10-26,38.19,24.88,16.08,6.96,0.78,61.81
2004-11-02,36.61,23.89,15.99,6.97,0.78,63.39
2004-11-09,36.46,23.86,15.12,6.73,0.78,63.54
2004-11-16,37.03,23.88,14.84,6.69,0.78,62.97
2004-11-23,36.44,23.76,14.78,6.59,0.78,63.56
2004-11-30,34.1,22.55,13.97,5.43,0.78,65.9
2004-12-07,33.58,22.57,13.78,5.43,0.78,66.42
2004-12-14,32.87,22.46,13.44,5.23,0.75,67.13
2004-12-21,34.21,22.66,13.85,5.34,0.77,65.79
2004-12-28,32.41,22.64,13.8,5.45,0.77,67.59
2005-01-04,30.91,21.42,12.86,4.94,0.64,69.09
2005-01-11,33.34,20.35,11.39,4.06,0.63,66.66
2005-01-18,32.59,20.27,11.19,4.01,0.6,67.41
2005-01-25,32.73,20.59,11.29,4.18,0.6,67.27
2005-02-01,32.66,23.77,11.89,4.07,0.6,67.34
2005-02-08,32.38,23.34,11.78,4.7,0.87,67.62
2005-02-15,32.77,22.76,11.86,4.82,0.87,67.23
2005-02-22,33.16,22.7,12.87,4.88,0.87,66.84
2005-03-01,32.08,22.31,13.59,4.6,1.1,67.92
2005-03-08,33.51,22.36,14.03,4.64,1.11,66.49
2005-03-15,33.72,22.42,14.68,5.59,1.31,66.28
2005-03-22,33.37,22.42,14.68,5.59,1.31,66.63
2005-03-29,31.3,21.66,13.81,4.87,1.26,68.7
2005-04-05,30.62,21.03,13.66,4.75,1.21,69.38
2005-04-12,27.42,19.59,12.9,4.6,1.24,72.58
2005-04-19,29.87,18.53,11.69,4.82,1.28,70.13
2005-04-26,29.82,18.5,11.11,3.97,0.71,70.18
2005-05-03,37.09,18.2,11.02,3.87,0.56,62.91
2005-05-10,39.72,18.81,11.07,2.75,0.0,60.28
2005-05-17,33.69,17.83,8.71,1.58,0.0,66.31
2005-05-24,37.36,18.7,8.92,1.58,0.0,62.64
2005-05-31,37.8,19.92,8.82,1.58,0.0,62.2
2005-06-07,37.57,22.58,7.39,0.9,0.0,62.43
2005-06-14,33.77,20.23,6.41,0.42,0.0,66.23
2005-06-21,33.98,19.18,6.35,0.0,0.0,66.02
2005-06-28,41.07,21.06,8.13,0.59,0.0,58.93
2005-07-05,39.98,22.5,9.55,1.37,0.0,60.02
2005-07-12,37.93,22.1,8.76,1.15,0.0,62.07
2005-07-19,40.27,23.69,9.91,1.26,0.0,59.73
2005-07-26,43.13,24.08,10.06,1.62,0.0,56.87
2005-08-02,43.78,24.48,10.28,1.54,0.0,56.22
2005-08-09,43.5,23.18,9.41,1.53,0.0,56.5
2005-08-16,41.44,21.2,8.17,0.83,0.0,58.56
2005-08-23,38.51,19.6,7.56,0.7,0.0,61.49
2005-08-30,37.61,18.32,7.11,0.7,0.0,62.39
2005-09-06,39.51,18.53,7.94,0.95,0.0,60.49
2005-09-13,42.51,20.46,8.24,1.16,0.0,57.49
2005-09-20,42.71,21.76,7.56,0.83,0.0,57.29
2005-09-27,40.43,19.82,6.01,0.62,0.0,59.57
2005-10-04,40.09,20.92,5.7,0.68,0.0,59.91
2005-10-11,36.09,15.82,4.64,0.7,0.0,63.91
2005-10-18,35.69,15.5,4.27,0.67,0.0,64.31
2005-10-25,38.93,16.89,4.43,0.84,0.0,61.07
2005-11-01,45.0,18.35,4.58,0.84,0.0,55.0
2005-11-08,45.15,20.03,3.81,0.75,0.0,54.85
2005-11-15,45.05,19.49,4.91,0.8,0.0,54.95
2005-11-22,43.17,18.73,5.59,0.8,0.0,56.83
2005-11-29,41.12,17.78,5.58,0.88,0.0,58.88
2005-12-06,39.37,18.46,5.07,1.16,0.0,60.63
2005-12-13,40.46,18.88,5.62,1.39,0.0,59.54
2005-12-20,40.12,19.05,6.18,2.34,0.45,59.88
2005-12-27,38.64,18.9,6.14,2.34,0.45,61.36
2006-01-03,37.48,17.81,6.25,2.47,0.51,62.52
2006-01-10,39.61,18.58,6.77,3.06,0.55,60.39
2006-01-17,41.66,21.32,7.14,3.13,0.64,58.34
2006-01-24,39.78,21.1,9.03,3.82,0.73,60.22
2006-01-31,39.63,22.76,9.42,3.63,0.45,60.37
2006-02-07,40.27,23.82,11.56,5.1,0.51,59.73
2006-02-14,39.49,23.54,11.92,5.32,0.48,60.51
2006-02-21,39.64,23.88,12.75,5.5,0.53,60.36
2006-02-28,42.75,25.16,13.72,5.98,1.02,57.25
2006-03-07,44.43,26.36,15.06,6.94,1.02,55.57
2006-03-14,42.97,26.15,15.2,6.75,1.14,57.03
2006-03-21,48.61,25.01,13.81,4.21,0.94,51.39
2006-03-28,48.57,26.23,13.98,3.53,0.94,51.43
2006-04-04,49.78,26.07,12.56,3.41,0.94,50.22
2006-04-11,46.86,26.4,13.82,3.31,0.94,53.14
2006-04-18,48.42,27.39,15.62,4.64,1.06,51.58
2006-04-25,47.43,27.06,15.5,5.67,1.03,52.57
2006-05-02,47.34,25.08,12.93,4.64,1.52,52.66
2006-05-09,48.32,21.79,10.37,5.81,1.42,51.68
2006-05-16,43.57,20.94,10.84,5.71,1.13,56.43
2006-05-23,41.46,22.71,11.63,5.95,1.13,58.54
2006-05-30,44.79,24.55,12.44,5.75,1.08,55.21
2006-06-06,44.16,26.13,15.13,6.91,0.99,55.84
2006-06-13,48.46,29.38,16.43,8.18,0.98,51.54
2006-06-20,48.25,28.34,16.51,7.99,0.98,51.75
2006-06-27,47.27,29.36,16.06,7.51,1.05,52.73
2006-07-04,47.33,31.78,16.51,7.07,0.79,52.67
2006-07-11,51.3,33.88,14.57,4.46,0.52,48.7
2006-07-18,53.13,40.5,21.64,6.14,0.84,46.87
2006-07-25,54.05,41.74,24.33,9.46,1.04,45.95
2006-08-01,53.42,40.46,23.97,9.48,1.05,46.58
2006-08-08,54.94,41.24,25.84,10.1,1.59,45.06
2006-08-15,55.25,41.07,24.95,9.47,1.68,44.75
2006-08-22,54.01,40.09,24.36,9.22,1.67,45.99
2006-08-29,53.0,36.72,20.55,8.32,1.45,47.0
2006-09-05,51.04,34.49,19.42,7.99,0.87,48.96
2006-09-12,48.31,33.55,18.46,8.6,1.21,51.69
2006-09-19,47.51,30.74,13.78,6.28,0.25,52.49
2006-09-26,45.99,27.53,13.62,5.52,0.12,54.01
2006-10-03,46.46,28.82,13.81,5.69,0.12,53.54
2006-10-10,45.82,29.34,14.04,5.58,0.2,54.18
2006-10-17,44.55,27.63,13.66,5.29,0.24,55.45
2006-10-24,42.01,26.38,13.86,5.11,0.0,57.99
2006-10-31,40.2,25.05,12.98,5.05,0.0,59.8
2006-11-07,36.6,22.8,11.6,4.76,0.0,63.4
2006-11-14,37.7,23.01,11.6,4.87,0.0,62.3
2006-11-21,36.37,21.8,11.28,5.34,0.14,63.63
2006-11-28,35.75,21.84,11.67,6.2,0.22,64.25
2006-12-05,38.69,21.0,10.97,5.13,0.15,61.31
2006-12-12,40.02,21.43,11.29,5.2,0.51,59.98
2006-12-19,49.68,22.15,11.45,5.18,0.51,50.32
2006-12-26,48.52,21.33,10.89,4.89,0.4,51.48
2007-01-02,46.44,21.41,10.54,4.95,0.28,53.56
2007-01-09,44.96,21.6,11.25,5.24,0.28,55.04
2007-01-16,42.42,20.86,10.91,5.02,0.26,57.58
2007-01-23,39.37,20.87,11.16,4.43,0.18,60.63
2007-01-30,40.71,21.39,11.47,4.45,0.18,59.29
2007-02-06,43.02,21.08,11.8,4.45,0.18,56.98
2007-02-13,43.3,21.85,12.24,4.69,0.19,56.7
2007-02-20,45.01,22.63,12.13,4.51,0.15,54.99
2007-02-27,42.35,21.09,11.16,3.86,0.15,57.65
2007-03-06,41.51,19.69,10.12,3.23,0.15,58.49
2007-03-13,48.27,22.11,10.97,4.57,0.15,51.73
2007-03-20,49.22,22.53,11.14,4.5,0.15,50.78
2007-03-27,52.81,27.57,11.71,3.91,0.0,47.19
2007-04-03,47.89,25.59,8.74,2.54,0.0,52.11
2007-04-10,48.33,26.59,9.39,2.51,0.0,51.67
2007-04-17,46.03,26.25,11.1,2.88,0.0,53.97
2007-04-24,46.37,26.49,11.59,3.38,0.0,53.63
2007-05-01,46.39,27.16,12.43,3.95,0.0,53.61
2007-05-08,45.55,26.41,12.17,4.28,0.0,54.45
2007-05-15,47.4,27.44,13.38,4.59,0.0,52.6
2007-05-22,47.66,28.31,14.52,5.56,0.0,52.34
2007-05-29,48.9,28.34,14.76,5.76,0.0,51.1
2007-06-05,49.59,28.29,14.16,5.41,0.31,50.41
2007-06-12,47.99,28.11,15.3,5.4,0.74,52.01
2007-06-19,49.63,28.58,15.94,6.3,1.0,50.37
2007-06-26,50.58,28.8,15.96,6.15,0.77,49.42
2007-07-03,50.79,28.96,15.49,5.92,0.64,49.21
2007-07-10,53.61,32.88,16.23,5.29,0.43,46.39
2007-07-17,54.44,35.47,16.51,5.28,0.43,45.56
2007-07-24,57.02,36.65,20.85,5.28,0.33,42.98
2007-07-31,58.35,38.63,24.03,5.66,0.55,41.65
2007-08-07,60.11,39.31,25.09,6.97,1.28,39.89
2007-08-14,59.31,40.33,27.47,8.37,1.95,40.69
2007-08-21,58.84,40.81,27.83,10.45,2.39,41.16
2007-08-28,56.52,38.29,27.69,10.7,2.32,43.48
2007-09-04,56.17,38.07,27.01,10.16,2.0,43.83
2007-09-11,53.84,37.22,26.83,10.29,2.36,46.16
2007-09-18,52.04,36.68,26.8,10.22,1.93,47.96
2007-09-25,52.13,36.8,25.09,9.86,1.9,47.87
2007-10-02,52.62,36.64,24.76,10.02,2.8,47.38
2007-10-09,52.47,36.63,25.06,10.36,2.95,47.53
2007-10-16,51.98,36.76,25.25,10.97,3.61,48.02
2007-10-23,48.83,32.53,22.04,8.85,3.32,51.17
2007-10-30,44.92,29.37,19.13,6.59,1.84,55.08
2007-11-06,47.6,29.78,19.22,6.69,2.06,52.4
2007-11-13,51.34,30.19,18.82,6.31,2.27,48.66
2007-11-20,53.53,30.91,18.73,6.73,2.45,46.47
2007-11-27,50.03,31.29,18.99,6.72,2.41,49.97
2007-12-04,51.92,30.38,17.28,5.14,2.71,48.08
2007-12-11,49.5,29.71,17.47,5.36,3.13,50.5
2007-12-18,47.77,28.97,17.43,5.36,3.13,52.23
2007-12-25,47.78,28.85,17.36,5.35,3.13,52.22
2008-01-01,50.73,29.21,17.04,4.81,1.99,49.27
2008-01-08,52.21,29.59,15.25,3.94,2.09,47.79
2008-01-15,53.28,29.82,16.03,3.71,1.82,46.72
2008-01-22,51.7,28.81,14.94,3.47,1.82,48.3
2008-01-29,52.21,26.38,13.53,3.67,1.91,47.79
2008-02-05,51.82,26.11,12.86,3.4,1.8,48.18
2008-02-12,54.13,25.05,12.62,3.41,1.8,45.87
2008-02-19,51.53,24.83,12.79,3.36,1.72,48.47
2008-02-26,48.58,24.39,12.58,2.8,0.91,51.42
2008-03-04,47.08,23.78,12.75,2.74,0.75,52.92
2008-03-11,46.04,22.73,12.0,2.22,0.32,53.96
2008-03-18,46.01,24.77,11.38,2.22,0.09,53.99
2008-03-25,45.83,23.62,10.51,2.1,0.0,54.17
2008-04-01,46.85,23.69,8.12,2.38,0.0,53.15
2008-04-08,44.11,22.25,6.68,2.19,0.0,55.89
2008-04-15,43.53,22.37,8.03,1.97,0.24,56.47
2008-04-22,43.52,22.5,7.65,2.1,0.24,56.48
2008-04-29,45.59,22.8,8.77,2.08,0.24,54.41
2008-05-06,45.11,21.4,7.3,1.83,0.0,54.89
2008-05-13,44.08,20.52,7.2,1.74,0.0,55.92
2008-05-20,42.75,21.05,7.22,1.3,0.0,57.25
2008-05-27,37.08,18.01,6.78,1.37,0.0,62.92
2008-06-03,38.36,19.31,7.16,1.48,0.0,61.64
2008-06-10,43.67,19.83,7.87,1.96,0.0,56.33
2008-06-17,40.2,25.29,10.11,3.57,0.26,59.8
2008-06-24,40.47,24.55,9.89,3.8,0.35,59.53
2008-07-01,40.1,23.5,10.09,3.65,0.66,59.9
2008-07-08,40.43,23.08,9.94,3.47,0.74,59.57
2008-07-15,40.42,22.75,9.06,2.9,0.7,59.58
2008-07-22,43.95,23.05,9.17,3.34,1.02,56.05
2008-07-29,42.89,23.63,10.59,3.65,0.81,57.11
2008-08-05,44.63,23.7,10.91,3.63,0.81,55.37
2008-08-12,43.42,22.9,10.79,3.7,0.8,56.58
